,tweet_id,date,time
12044,1236826668943044608,2020-03-09,1:30:31
12045,1236826677315022849,2020-03-09,1:30:33
12046,1236826887034298368,2020-03-09,1:31:23
12047,1236826924778795010,2020-03-09,1:31:32
12048,1236826924783042560,2020-03-09,1:31:32
12049,1236827138705231873,2020-03-09,1:32:23
12050,1236827176466550789,2020-03-09,1:32:32
12051,1236827272927154178,2020-03-09,1:32:55
12052,1236827285505871874,2020-03-09,1:32:58
12053,1236827302299930624,2020-03-09,1:33:2
12054,1236827319072890881,2020-03-09,1:33:6
12055,1236827327440584705,2020-03-09,1:33:8
12056,1236827335833387008,2020-03-09,1:33:10
12057,1236827356830076928,2020-03-09,1:33:15
12058,1236827583309844480,2020-03-09,1:34:9
12059,1236827595880054784,2020-03-09,1:34:12
12060,1236827637810692096,2020-03-09,1:34:22
12061,1236827679774646273,2020-03-09,1:34:32
12062,1236827772032557057,2020-03-09,1:34:54
12063,1236827776235307008,2020-03-09,1:34:55
12064,1236827818194907136,2020-03-09,1:35:5
12065,1236827830786244608,2020-03-09,1:35:8
12066,1236827918833192960,2020-03-09,1:35:29
12067,1236827948193366022,2020-03-09,1:35:36
12068,1236827960780492802,2020-03-09,1:35:39
12069,1236828132763721728,2020-03-09,1:36:20
12070,1236828141135560704,2020-03-09,1:36:22
12071,1236828216637247490,2020-03-09,1:36:40
12072,1236828321486438400,2020-03-09,1:37:5
12073,1236828334081765376,2020-03-09,1:37:8
12074,1236828430567649280,2020-03-09,1:37:31
12075,1236828434753441792,2020-03-09,1:37:32
12076,1236828506052374529,2020-03-09,1:37:49
12077,1236828904519880706,2020-03-09,1:39:24
12078,1236829000976273408,2020-03-09,1:39:47
12079,1236829080684765184,2020-03-09,1:40:6
12080,1236829122598449154,2020-03-09,1:40:16
12081,1236829160363999232,2020-03-09,1:40:25
12082,1236829177132781574,2020-03-09,1:40:29
12083,1236829294569103365,2020-03-09,1:40:57
12084,1236829332309307392,2020-03-09,1:41:6
12085,1236829382678732805,2020-03-09,1:41:18
12086,1236829386847944708,2020-03-09,1:41:19
12087,1236829441382404099,2020-03-09,1:41:32
12088,1236829453944107010,2020-03-09,1:41:35
12089,1236829516896534529,2020-03-09,1:41:50
12090,1236829533648683009,2020-03-09,1:41:54
12091,1236829537847083009,2020-03-09,1:41:55
12092,1236829542049873922,2020-03-09,1:41:56
12093,1236829584001286144,2020-03-09,1:42:6
12094,1236829600782659585,2020-03-09,1:42:10
12095,1236829642687832066,2020-03-09,1:42:20
12096,1236829655291686912,2020-03-09,1:42:23
12097,1236829693044760577,2020-03-09,1:42:32
12098,1236829734987870211,2020-03-09,1:42:42
12099,1236829760141037569,2020-03-09,1:42:48
12100,1236829944702857216,2020-03-09,1:43:32
12101,1236830041146785794,2020-03-09,1:43:55
12102,1236830133450932225,2020-03-09,1:44:17
12103,1236830192171016192,2020-03-09,1:44:31
12104,1236830481586573312,2020-03-09,1:45:40
12105,1236830510946508800,2020-03-09,1:45:47
12106,1236830565451563009,2020-03-09,1:46:0
12107,1236830573848678410,2020-03-09,1:46:2
12108,1236830720640909314,2020-03-09,1:46:37
12109,1236830766769876992,2020-03-09,1:46:48
12110,1236830812907032576,2020-03-09,1:46:59
12111,1236830976505978880,2020-03-09,1:47:38
12112,1236830980674965504,2020-03-09,1:47:39
12113,1236831265921236993,2020-03-09,1:48:47
12114,1236831299454844928,2020-03-09,1:48:55
12115,1236831341397884928,2020-03-09,1:49:5
12116,1236831442048434177,2020-03-09,1:49:29
12117,1236831442052812801,2020-03-09,1:49:29
12118,1236831442082070529,2020-03-09,1:49:29
12119,1236831580456456192,2020-03-09,1:50:2
12120,1236831723066925056,2020-03-09,1:50:36
12121,1236831798564458502,2020-03-09,1:50:54
12122,1236831903434620929,2020-03-09,1:51:19
12123,1236831962142130176,2020-03-09,1:51:33
12124,1236832025086173184,2020-03-09,1:51:48
12125,1236832104769417216,2020-03-09,1:52:7
12126,1236832264157376512,2020-03-09,1:52:45
12127,1236832364828950530,2020-03-09,1:53:9
12128,1236832436115263488,2020-03-09,1:53:26
12129,1236832566138765313,2020-03-09,1:53:57
12130,1236832595507216384,2020-03-09,1:54:4
12131,1236832679384903680,2020-03-09,1:54:24
12132,1236832738122108930,2020-03-09,1:54:38
12133,1236832872323067904,2020-03-09,1:55:10
12134,1236832960407457792,2020-03-09,1:55:31
12135,1236832968771080192,2020-03-09,1:55:33
12136,1236833472087547905,2020-03-09,1:57:33
12137,1236833572755050496,2020-03-09,1:57:57
12138,1236833677637754880,2020-03-09,1:58:22
12139,1236833811859718144,2020-03-09,1:58:54
12140,1236833862178619393,2020-03-09,1:59:6
12141,1236833870550568961,2020-03-09,1:59:8
12142,1236833878955958272,2020-03-09,1:59:10
12143,1236833878972805121,2020-03-09,1:59:10
12144,1236833887340253186,2020-03-09,1:59:12
12145,1236833899931750400,2020-03-09,1:59:15
12146,1236833916708929538,2020-03-09,1:59:19
12147,1236833937672060933,2020-03-09,1:59:24
12148,1236834034136866816,2020-03-09,1:59:47
12149,1236834055108296705,2020-03-09,1:59:52
12150,1236834105461026816,2020-03-09,2:0:4
12151,1236834306766458880,2020-03-09,2:0:52
12152,1236834369693724676,2020-03-09,2:1:7
12153,1236834373900648448,2020-03-09,2:1:8
12154,1236834440984301570,2020-03-09,2:1:24
12155,1236834453575565312,2020-03-09,2:1:27
12156,1236834495535493120,2020-03-09,2:1:37
12157,1236834562619162625,2020-03-09,2:1:53
